row_id,from_date,to_date,part_number,dealer_price,list_price,part_category,part_name,competition_brand,competition_name,competition_part_number
2,2013-09-01,2013-09-30,1C3Z2C026AA,139.99,223.98,OE MOTORCRAFT ROTOR AND DRUM,ROTOR ASY - BRAKE,AUTOZONE,DURALAST,54119
3,2013-05-01,2013-05-31,1C3Z2C026AA,193.54,293.25,OE MOTORCRAFT ROTOR AND DRUM,ROTOR ASY  BRAKE,WD/JOBBER,RAYBESTOS,680191R
4,2013-06-01,2013-06-30,1C3Z2C026AA,262.68,398.01,OE MOTORCRAFT ROTOR AND DRUM,ROTOR ASY  BRAKE,WD/JOBBER,RAYBESTOS,680191
5,2013-11-01,2013-11-30,1C3Z2C026AA,198.12,300.18,OE MOTORCRAFT ROTOR AND DRUM,ROTOR ASY  BRAKE,WD/JOBBER,WAGNER,BD125788
6,2013-01-01,2013-01-31,1C3Z2C026AA,235.10,291.66,OE MOTORCRAFT ROTOR AND DRUM,ROTOR ASY - BRAKE,WD/JOBBER,ACDELCO,18A1688
7,2013-07-01,2013-07-31,1C3Z2C026AA,195.75,291.66,OE MOTORCRAFT ROTOR AND DRUM,ROTOR ASY - BRAKE,WD/JOBBER,ACDELCO,18A1688
8,2013-08-01,2013-08-31,1C3Z2C026AA,195.75,291.66,OE MOTORCRAFT ROTOR AND DRUM,ROTOR ASY - BRAKE,WD/JOBBER,ACDELCO,18A1688
9,2013-09-01,2013-09-30,1C4Z2C026AA,98.99,158.38,BRAKE DRUM ASSEMBLIES,ROTOR ASY,AUTOZONE,DURALAST,60109
10,2013-03-01,2013-03-31,1F1Z1104DA,104.59,201.13,HUB ASSEMBLIES,HUB ASY  WHEEL,WD/JOBBER,TIMKEN,512164
11,2013-09-01,2013-09-30,1F1Z1104DA,42.99,68.78,HUB ASSEMBLIES,HUB ASY - WHEEL,AUTOZONE,DURALAST,DL512164
12,2013-01-01,2013-01-31,1F1Z1126BA,30.57,37.92,OE MOTORCRAFT ROTOR AND DRUM,DRUM - BRAKE,WD/JOBBER,ACDELCO,18B431
13,2013-07-01,2013-07-31,1F1Z1126BA,25.45,37.92,OE MOTORCRAFT ROTOR AND DRUM,DRUM - BRAKE,WD/JOBBER,ACDELCO,18B431
14,2013-08-01,2013-08-31,1F1Z1126BA,25.45,37.92,OE MOTORCRAFT ROTOR AND DRUM,DRUM - BRAKE,WD/JOBBER,ACDELCO,18B431
15,2013-09-01,2013-09-30,1F1Z1126BA,26.20,49.99,OE MOTORCRAFT ROTOR AND DRUM,DRUM - BRAKE,WD/JOBBER,BENDIX,PDR0731
16,2013-09-01,2013-09-30,1F1Z1126BA,33.99,54.38,OE MOTORCRAFT ROTOR AND DRUM,DRUM - BRAKE,AUTOZONE,DURALAST,80099
17,2013-05-01,2013-05-31,1F1Z1126BA,48.79,73.92,OE MOTORCRAFT ROTOR AND DRUM,DRUM - BRAKE,WD/JOBBER,RAYBESTOS,9712R
18,2013-06-01,2013-06-30,1F1Z1126BA,38.73,67.99,OE MOTORCRAFT ROTOR AND DRUM,DRUM - BRAKE,WD/JOBBER,RAYBESTOS,9712R
19,2013-11-01,2013-11-30,1F1Z1126BA,40.27,61.02,OE MOTORCRAFT ROTOR AND DRUM,DRUM  BRAKE,WD/JOBBER,WAGNER,BD125797
20,2013-06-01,2013-06-30,1F2Z1104AA,125.89,190.74,HUB ASSEMBLIES,HUB AND BEARING ASY - WHEEL,WD/JOBBER,NATIONAL,513156
21,2013-05-01,2013-05-31,1F2Z1104AA,73.12,110.79,HUB ASSEMBLIES,HUB AND BEARING ASY - WHEEL,WD/JOBBER,RAYBESTOS,713156
22,2013-06-01,2013-06-30,1F2Z1104AA,99.24,150.37,HUB ASSEMBLIES,HUB AND BEARING ASY - WHEEL,WD/JOBBER,RAYBESTOS,713156
23,2013-03-01,2013-03-31,1F2Z1104AA,144.22,277.35,HUB ASSEMBLIES,HUB AND BEARING ASY  WHEEL,WD/JOBBER,TIMKEN,513156
24,2013-09-01,2013-09-30,1F2Z1104AA,86.99,139.18,HUB ASSEMBLIES,HUB AND BEARING ASY - WHEEL,AUTOZONE,DURALAST,513156
25,2013-08-01,2013-08-31,1F2Z1104AA,111.06,168.27,HUB ASSEMBLIES,HUB AND BEARING ASY  WHEEL,WD/JOBBER,WAGNER,513156
26,2013-09-01,2013-09-30,1L2Z1109AA,153.99,246.38,HUB ASSEMBLIES,HUB ASY - WHEEL,AUTOZONE,DURALAST,HA590259K
27,2013-03-01,2013-03-31,1L2Z1109AA,244.06,469.35,HUB ASSEMBLIES,HUB ASY  WHEEL,WD/JOBBER,TIMKEN,HA590259K
28,2013-09-01,2013-09-30,1L3Z1104BA,239.99,383.98,HUB ASSEMBLIES,HUB ASY - WHEEL,AUTOZONE,DURALAST,515030
29,2013-03-01,2013-03-31,1L3Z1104BA,341.39,656.53,HUB ASSEMBLIES,HUB ASY  WHEEL,WD/JOBBER,TIMKEN,515030
30,2013-09-01,2013-09-30,1L5Z1125AA,46.99,75.18,BRAKE DRUM ASSEMBLIES,ROTOR ASY,AUTOZONE,DURALAST,54097
31,2013-05-01,2013-05-31,1L5Z1125AA,76.03,115.20,BRAKE DRUM ASSEMBLIES,ROTOR ASY,WD/JOBBER,RAYBESTOS,680027R
32,2013-06-01,2013-06-30,1L5Z1125AA,60.37,104.99,BRAKE DRUM ASSEMBLIES,ROTOR ASY,WD/JOBBER,RAYBESTOS,680027R
33,2013-11-01,2013-11-30,1L5Z1125AA,55.31,83.80,BRAKE DRUM ASSEMBLIES,ROTOR ASY,WD/JOBBER,WAGNER,BD125721
34,2013-01-01,2013-01-31,1L5Z1125AA,72.56,90.02,BRAKE DRUM ASSEMBLIES,ROTOR ASY,WD/JOBBER,ACDELCO,18A736
35,2013-07-01,2013-07-31,1L5Z1125AA,60.42,90.02,BRAKE DRUM ASSEMBLIES,ROTOR ASY,WD/JOBBER,ACDELCO,18A736
36,2013-08-01,2013-08-31,1L5Z1125AA,60.42,90.02,BRAKE DRUM ASSEMBLIES,ROTOR ASY,WD/JOBBER,ACDELCO,18A736
37,2013-08-01,2013-08-31,1L5Z1125AA,37.65,55.71,BRAKE DRUM ASSEMBLIES,ROTOR ASY,WD/JOBBER,BENDIX,PRT5341
