from_date,part_number,dealer_price,list_price
1/1/2013,1C4Z2C026AA,150.00,250.00
1/1/2013,1F1Z1104DA,0.00,0.00
1/1/2013,1F1Z1126BA,35.55,59.26
1/1/2013,1F2Z1104AB,92.72,154.54
1/1/2013,1L2Z1109AA,143.50,239.17
1/1/2013,1L3Z1104BA,291.67,486.12
1/1/2013,1L5Z1126BA,59.98,99.97
1/1/2013,1R3Z1104B,80.00,133.33
1/1/2013,1R3Z1104BB,69.00,115.00
1/1/2013,1R8Z2C026AA,54.98,91.63
1/1/2013,1S4Z2C026BA,0.00,0.00
1/1/2013,2T1Z1125A,54.14,90.24
1/1/2013,2T1Z1126C,0.00,0.00
1/1/2013,3C2Z1104AA,270.00,450.00
1/1/2013,3C2Z1109AA,249.77,416.28
1/1/2013,3C3Z1102CA,199.15,331.92
1/1/2013,3C3Z1104A,271.20,452.00
1/1/2013,3C3Z1104B,224.86,374.77
1/1/2013,3C3Z1104BA,0.00,0.00
1/1/2013,3C3Z1104CA,296.82,494.70
1/1/2013,3C3Z1109AA,0.00,0.00
1/1/2013,3C3Z1109AB,121.57,202.62
1/1/2013,3C3Z1109BA,0.00,0.00
1/1/2013,3C3Z1109BB,0.00,0.00
1/1/2013,3C3Z1109DA,177.19,295.32
1/1/2013,3C5Z1104AA,148.74,247.91
1/1/2013,3F1Z1104AA,60.00,100.00
1/1/2013,3F1Z1104BA,67.71,112.85
1/1/2013,3F1Z1104CA,72.41,120.68
1/1/2013,3F1Z1104DA,58.32,97.20
1/1/2013,3F2Z1104AA,304.44,507.41
1/1/2013,3F2Z1104AB,306.53,510.88
1/1/2013,3F2Z2C026AA,49.98,83.30
1/1/2013,3L2Z1104AA,196.19,326.98
1/1/2013,3L2Z1104AB,0.00,0.00
1/1/2013,3L2Z1109AA,0.00,0.00
1/1/2013,3L2Z1125AA,0.00,0.00
1/1/2013,3L2Z2C026AA,44.98,74.97
1/1/2013,3L5Z1104AA,0.00,0.00
1/1/2013,3L5Z1125AA,51.63,86.05
1/1/2013,3W1Z1125AA,46.72,77.87
1/1/2013,3W1Z2C026AA,43.58,72.63
1/1/2013,3W1Z2C026BA,59.98,99.97
1/1/2013,3W7Z2C026AA,45.98,76.63
1/1/2013,4C2Z1102AA,0.00,0.00
1/1/2013,4C2Z2C026AA,107.14,178.57
1/1/2013,4C3Z1102BA,0.00,0.00
1/1/2013,4C3Z1109AA,206.09,343.48
1/1/2013,4C5Z1125AA,65.98,109.97
1/1/2013,4F1Z1125AA,0.00,0.00
1/1/2013,4F2Z1102AAA,0.00,0.00
1/1/2013,4G7Z1104AA,0.00,0.00
1/1/2013,4G7Z1125AA,144.38,240.63
1/1/2013,4G7Z2C026AA,0.00,0.00
1/1/2013,4L2Z1104AA,178.28,297.12
1/1/2013,4L2Z1125AA,52.53,87.54
1/1/2013,4L3Z1104AB,235.06,391.76
1/1/2013,4L3Z1104BB,255.46,425.78
1/1/2013,4L5Z1102BA,92.21,153.68
1/1/2013,4R3Z1104AA,113.58,189.31
1/1/2013,4R3Z1104AB,99.04,165.07
1/1/2013,4R3Z1104B,0.00,0.00
1/1/2013,4R3Z1125AA,79.97,133.29
1/1/2013,4R3Z1125BA,0.00,0.00
1/1/2013,5C3Z1102AB,131.92,219.86
1/1/2013,5C3Z1102GB,147.98,246.63
1/1/2013,5C3Z1104BAA,0.00,0.00
1/1/2013,5C3Z1109AA,0.00,0.00
1/1/2013,5C3Z1109B,352.30,587.17
1/1/2013,5C3Z1109CA,219.41,365.68
1/1/2013,5C3Z1109CC,134.63,224.38
1/1/2013,5C3Z1109DA,169.91,283.17
1/1/2013,5C3Z1125AB,75.00,125.00
1/1/2013,5C3Z1125CA,81.55,135.92
1/1/2013,5C3Z1125DA,85.56,142.60
1/1/2013,5C3Z2C026CA,112.84,188.06
1/1/2013,5C5Z2C026A,49.98,83.30
1/1/2013,5L2Z1102BA,94.29,157.15
1/1/2013,5L2Z2C026A,0.00,0.00
1/1/2013,5L3Z1125AA,76.38,127.31
1/1/2013,5L3Z1125BA,69.98,116.63
1/1/2013,5L3Z2C026AA,0.00,0.00
1/1/2013,5L8Z1125AA,0.00,0.00
1/1/2013,5L8Z1125BA,57.00,95.00
