from_date,part_number,retail_revenue,retail_quantity,dealer_price,gross_quantity,gross_revenue
2013-01-01,1C4Z2C026AA,600,4,600,4,600
2013-01-01,1F1Z1104DA,0,0,0,0,0
2013-01-01,1F1Z1126BA,"2,133.78",61,"2,168.76",62,"2,168.76"
2013-01-01,1F2Z1104AB,"6,123.74",67,"6,212.50",70,"6,212.50"
2013-01-01,1L2Z1109AA,"44,239.22",311,"44,629.40",326,"44,629.40"
2013-01-01,1L3Z1104BA,"1,537.50",6,"1,750.00",7,"1,750.00"
2013-01-01,1L5Z1126BA,239.92,4,239.92,4,239.92
2013-01-01,1R3Z1104B,"5,840.00",73,"5,840.00",73,"5,840.00"
2013-01-01,1R3Z1104BB,690,10,690,10,690
2013-01-01,1R8Z2C026AA,109.96,2,109.96,2,109.96
2013-01-01,1S4Z2C026BA,0,0,0,0,0
2013-01-01,2T1Z1125A,"31,360.82",605.58,"32,786.88",656,"32,786.88"
2013-01-01,2T1Z1126C,0,0,0,0,0
2013-01-01,3C2Z1104AA,"1,080.00",4,"1,080.00",4,"1,080.00"
2013-01-01,3C2Z1109AA,"3,996.32",16,"3,996.32",16,"3,996.32"
2013-01-01,3C3Z1102CA,"6,970.25",35,"6,970.25",35,"6,970.25"
2013-01-01,3C3Z1104A,"110,471.87",413,"112,006.37",427,"112,006.37"
2013-01-01,3C3Z1104B,674.58,3,674.58,3,674.58
2013-01-01,3C3Z1104BA,-931.19,-7,0,0,0
2013-01-01,3C3Z1104CA,"62,144.25",217,"64,410.00",226,"64,410.00"
2013-01-01,3C3Z1109AA,0,0,0,0,0
2013-01-01,3C3Z1109AB,"4,984.37",41,"4,984.37",41,"4,984.37"
2013-01-01,3C3Z1109BA,0,0,0,0,0
2013-01-01,3C3Z1109BB,0,0,0,0,0
2013-01-01,3C3Z1109DA,"1,771.90",10,"1,771.90",10,"1,771.90"
2013-01-01,3C5Z1104AA,"14,061.00",98,"14,577.00",113,"14,577.00"
2013-01-01,3F1Z1104AA,540,9,540,9,540
2013-01-01,3F1Z1104BA,"13,843.16",208,"14,083.30",217,"14,083.30"
2013-01-01,3F1Z1104CA,"1,230.97",17,"1,230.97",17,"1,230.97"
2013-01-01,3F1Z1104DA,349.92,6,349.92,6,349.92
2013-01-01,3F2Z1104AA,"6,875.43",29,"8,828.80",40,"8,828.80"
2013-01-01,3F2Z1104AB,"6,231.86",26,"7,969.68",36,"7,969.68"
2013-01-01,3F2Z2C026AA,"1,799.28",36,"1,799.28",36,"1,799.28"
2013-01-01,3L2Z1104AA,"19,429.92",100,"19,618.56",104,"19,618.56"
2013-01-01,3L2Z1104AB,0,0,0,0,0
2013-01-01,3L2Z1109AA,0,0,0,0,0
2013-01-01,3L2Z1125AA,0,0,0,0,0
2013-01-01,3L2Z2C026AA,764.66,17,764.66,17,764.66
2013-01-01,3L5Z1104AA,0,0,0,0,0
2013-01-01,3L5Z1125AA,"4,481.54",91,"4,698.12",94,"4,698.12"
2013-01-01,3W1Z1125AA,"97,843.44","2,197.00","102,644.36","2,282.00","102,659.36"
2013-01-01,3W1Z2C026AA,"6,088.84",143,"6,232.10",145,"6,232.10"
2013-01-01,3W1Z2C026BA,"1,199.60",20,"1,199.60",20,"1,199.60"
2013-01-01,3W7Z2C026AA,"48,468.96","1,082.00","49,747.88","1,106.00","49,747.88"
2013-01-01,4C2Z1102AA,0,0,0,0,0
2013-01-01,4C2Z2C026AA,"2,999.92",28,"2,999.92",28,"2,999.92"
2013-01-01,4C3Z1102BA,0,0,481.49,1,481.49
2013-01-01,4C3Z1109AA,618.27,3,618.27,3,618.27
2013-01-01,4C5Z1125AA,263.92,4,263.92,4,263.92
2013-01-01,4F1Z1125AA,-167.98,-2,0,0,0
2013-01-01,4F2Z1102AAA,0,0,0,0,0
2013-01-01,4G7Z1104AA,0,0,0,0,0
2013-01-01,4G7Z1125AA,866.28,6,866.28,6,866.28
2013-01-01,4G7Z2C026AA,0,0,0,0,0
2013-01-01,4L2Z1104AA,"359,283.94","2,044.00","364,395.25","2,153.00","364,395.25"
2013-01-01,4L2Z1125AA,"9,771.30",190,"9,980.16",192,"9,980.16"
2013-01-01,4L3Z1104AB,"53,333.40",232,"54,534.06",243,"54,534.06"
2013-01-01,4L3Z1104BB,"1,021.85",4,"1,021.85",5,"1,021.85"
2013-01-01,4L5Z1102BA,"5,903.96",69,"6,362.52",74,"6,362.52"
2013-01-01,4R3Z1104AA,"13,884.28",156,"17,719.02",198,"17,719.02"
2013-01-01,4R3Z1104AB,"3,377.88",36,"3,565.54",38,"3,565.54"
2013-01-01,4R3Z1104B,0,0,0,0,0
2013-01-01,4R3Z1125AA,479.84,6,479.84,8,479.84
2013-01-01,4R3Z1125BA,0,-1,0,0,0
2013-01-01,5C3Z1102AB,"8,694.36",67,"8,838.64",68,"8,838.64"
2013-01-01,5C3Z1102GB,"4,954.18",35,"5,179.26",37,"5,179.26"
2013-01-01,5C3Z1104BAA,0,0,0,0,0
2013-01-01,5C3Z1109AA,-210.67,-1,0,0,0
